Traceport Meta Category,Traceport Meta Tag,PCS Term,PCS Code,NTEE Code,Definition,NTEE Long Description,NTEE Major Group Letter,NTEE Major Group Letter Description,360Giving Term
,Wetlands,Wetlands,SC030406,NEW,"Conservation and protection of highly ecologically sensitive and diverse wetlands, including swamps, bogs and marshes, from degradation and destruction through pollution, contamination from industrial and agricultural activities, and development, leading to loss of habitat and species as well as wetlands' water-purification and flood control functions and their usefulness for human activities such as hunting, fishing, recreation and agriculture.",,N,Recreation & Sports,
,Water pollution,Water pollution,SC030407,C22,"Promotion of a clean environment by establishing minimum water quality standards; developing and enforcing regulations to reduce water pollution; testing, recording and reporting on the quality of water in lakes, rivers and streams; issuing warnings and investigating hazards related to contamination; and, when warranted, initiating litigation against individuals and organizations that have failed to comply with water pollution control regulations. For activities addressing general water conservation, general water pollution or specific bodies of water (such as Chesapeake Bay), use Water resources. For promotion or provision of clean drinking water, use Clean water supply (in Public health).",,C,Environment,
,Land resources,Land resources,SC030500,C34,"Preservation and protection of endangered land resources from indiscriminate development, destruction or decay and which manage the utilization of renewable and non-renewable resources to ensure ongoing availability. Included are conservation of the nation's forests, rangeland, vegetation, deserts, wild and scenic rivers and other wilderness areas and open land spaces; and reestablishment of areas that have been devastated by strip mining or other destructive activities. Also included are programs that are involved in public land management and land banks/trusts which conserve land resources by purchasing or otherwise acquiring endangered land and/or all or some of the rights to that land and holding the land in trust or deeding it to the Interior Department or other public authorities or private organizations for conservation, care and protection in perpetuity. For forest conservation and services, use Forest preservation.",,C,Environment,
,Deserts,Deserts,SC030501,NEW,"Conservation and protection of deserts, recognizing their uniquely arid environmental conditions, including specialized plant and animal communities comprising many endangered species due to habitat degradation and loss, pollution, agricultural activities, development including urban sprawl, mismanagement of water resources and climate change. Promotion of responsible human use including ecologically sensitive natural resources management, development policies and recreation.",,N,Recreation & Sports,
,Grasslands,Grasslands,SC030502,NEW,"Conservation, protection and restoration of grasslands and prairies, with their specially adapted plant, animal and bird populations, whether ""unimproved"" or semi-natural, with wild communities coexisting with low-intensity human activities, usually agricultural, such as livestock grazing.",,N,Recreation & Sports,
,Highlands,Highlands,SC030503,NEW,"Conservation, management and restoration of highlands areas including plant and animal communities associated with montane habitats. With attention to water quality and conservation issues regarding numerous highland lakes and rivers and threats posed by human use such as development, air and water pollution, and resource extraction, and by climate change. ",,N,Recreation & Sports,
,Land degradation,Land degradation,SC030504,NEW,"Prevention and remediation of degradation or destruction of land by erosion, usually by wind or water but triggered by human activities such as agricultural practices including poor soil, irrigation or livestock management; pollution and chemical contamination, usually by agricultural, commercial or industrial activities; development such as urban sprawl and road-building, and deforestation. ",,N,Recreation & Sports,
,Tundra,Tundra,SC030505,NEW,"Conservation of the tundra biome including plant and animal communities which are specially adapted to the intense cold and relative lack of biodiversity and precipitation, and including millions of birds that stop there during migration. May include monitoring and working to mitigate threats such as bioaccumulation of mercury and rapid alterations in the environment due to climate change, including potentially massive release of soil-bound carbon with the melting of the permafrost.",,N,Recreation & Sports,
,Energy resources,Energy resources,SC030600,C35,"Conservation of existing energy resources, efficient use of available energy and development of new energy resources while protecting the quality of the environment. Included are the development, conservation and responsible use of fossil fuels; nuclear, solar, hydroelectric and geothermal power; and other new energy sources and technologies. For electrical service and other utility providers, see Public utilities.",,C,Environment,
,Energy efficiency,Energy efficiency,SC030601,NEW,"Activities promoting energy efficiency and conservation, with the goal of reducing total energy use including consumption of fossil fuels, including energy audits, retrofitting and weatherization of older buildings, improvement of building codes, implementation of more efficient traffic practices, reduction and capture of greenhouse gas emissions, and installation of renewable energy technologies.",,N,Recreation & Sports,
,Fossil fuels,Fossil fuels,SC030602,NEW,"Promotion and development of policies and technologies to reduce or phase-out use of fossil fuels such as coal, oil, and natural gas, or to promote cleaner and more efficient use of these fuels. This may include research and implementation of methods for reduction of carbon emissions and the resulting greenhouse gas effect, reduction of air and water pollution, chemical waste, and environmental damage resulting from production and transportation of fossil fuels.",,N,Recreation & Sports,
,Nuclear energy,Nuclear energy,SC030603,NEW,"Development of policies and technologies for cleaner and safer production and use of nuclear energy. May include research, for example into passively safe nuclear plants, which do not require human intervention or electronic feedback to shut down operations in case of emergency.",,N,Recreation & Sports,
,Renewable energy,Renewable energy,SC030604,NEW,"Promotion and development of renewable energy sources such as wind, geothermal, tides, solar, and biofuels, and technologies allowing more accessible, cleaner and cheaper energy from these sources, which are becoming increasingly widespread due to concerns about climate change and pollution due to fossil fuel use. Includes efforts to transform the real economy to use the energy produced by these sources.",,N,Recreation & Sports,
,Biodiversity,Biodiversity,SC040000,NEW,"Conservation, protection and where necessary restoration of the diversity of wild species of all kinds, plant and animal, including genetic and ecosystem diversity, for the preservation of ecological balance in the face of threats such as pollution, habitat loss, and climate change. It is the variety within and between all species of plants, animals and micro-organisms and the ecosystems within which they live and interact, including diversity within species, between species, and of ecosystems. Biodiversity is a measure of the different organisms present in different ecosystems. Use For: Ecosystem variation, Species variation, Conservation diversity.",,N,Recreation & Sports,
,Wildlife biodiversity,Wildlife biodiversity,SC040100,D30,"Conservation, protection, care and management of fish and wildlife resources and their habitats. Includes wildlife preservation services not broken out at the lower level or which deal with multiple populations of wildlife.",,D,Animal-Related,
,Aquariums,Aquariums,SC040101,D51,"Programs that house collections of living aquatic plants and animals including fish, shellfish, shore birds and other species for the purpose of study and public viewing.",,D,Animal-Related,
,Aquatic wildlife protection,Aquatic wildlife protection,SC040102,D33,"Conservation, management, and protection of aquatic wildlife in a variety of marine, coastal, and freshwater habitats, including support for beneficial practices and policies and opposition to destructive ones such overexploitation and trawling. Use for: Essential Fish Habitat. See also: Sustainable fishing, Fishing and hunting.",,D,Animal-Related,
,Bird preservation,Bird preservation,SC040103,D32,"Conservation, protection and management of different species of wild birds, including establishment and maintenance of a system of preserves that are set aside for their habitation and protected from human depredation and interference.",,D,Animal-Related,
,Endangered species protection,Endangered species protection,SC040104,D31,"Projects that identify and establish laws for the protection of species of birds, animals, fish or other wildlife that are at risk of extinction; and/or which sponsor programs for breeding endangered species in captivity and releasing them to selected habitats in the wild in which they are given a better chance for survival.",,D,Animal-Related,
,Wildlife rehabilitation,Wildlife rehabilitation,SC040105,NEW,"Rescue and care of sick, injured or orphaned wild animals with a view to returning them to their wild environment if possible, may include medical care and gradual habituation to normal functioning in the wild.",,N,Recreation & Sports,
,Wildlife sanctuaries,Wildlife sanctuaries,SC040106,D34,"Conservation, protection and management of different species of wild animals, especially by establishing a system of preserves that are set aside for their habitation and protected from human depredation and interference.",,D,Animal-Related,
,Zoos,Zoos,SC040107,D50,"Collections of living animals, birds, reptiles, fish, insects and other wildlife for the purpose of study and public viewing. Also included are petting zoos and other programs whose primary purpose is to allow youngsters to mingle with and touch a variety of wild and/or domesticated animals.",,D,Animal-Related,
,Invasive animal species,Invasive animal species,SC040108,NEW,"Activities that aim to prevent and control invasive animal species and their harmful effects on native biodiversity, environment, ecology, human health and economy. Invasive animal species can also be known as Introduced species, Non-indigenous or Non-native species and are characterized by adverse affects on the habitats and bioregions they invade. Invasive animals include mammals, birds, reptiles and insects. Use for research and educational programs as well as direct intervention to combat invasive species of animals.",,N,Recreation & Sports,
,Plant biodiversity,Plant biodiversity,SC040200,C38,"Efforts to preserve and protect endangered plant resources (other than the forests) and protect areas where endangered plants currently thrive. This may include seed banks, plant societies, and protection efforts for endangered plant species in gardens, farms, and the wild.",,C,Environment,
,Botanical gardens,Botanical gardens,SC040201,C41,"Projects to plant, maintain and display for public study and enjoyment collections of flowers, trees, shrubs and ground cover, some of which are rare and exotic. See also: Gardening (in Community improvement).",,C,Environment,
,Invasive plant species,Invasive plant species,SC040202,NEW,"Activities that aim to prevent and control invasive plant species and their harmful effects on native biodiversity, environment, ecology, human health and economy. Invasive plant species can also be known as Introduced species, Non-indigenous or Non-native species and are characterized by adverse effects on the habitats and bioregions they invade. Invasive plants include mosses, herbs, shrubs, flowering plants, trees, vines, etc. Use for research and educational programs as well as direct intervention to combat invasive species of plants.",,N,Recreation & Sports,
,Forest preservation,Forest preservation,SC040300,C36,"Preservation of forests with focus on biodiversity, ecosystem maintenance and renewal, and natural heritage. Use for: Remediation of forests and forest degradation, and Preservation of old-growth forests. See also: Sustainable forestry.",,C,Environment,
,Reforestation,Reforestation,SC040301,NEW,"Natural or intentional restocking of existing forests and woodlands that have been depleted, usually through deforestation. These efforts are intended to improve the quality of human life by soaking up pollution and dust from the air, rebuild natural habitats and ecosystems, and mitigate global warming via facilitation of biosequestration of atmospheric carbon dioxide. Use for: Discrete deforestation. See also: Sustainable forestry.",,N,Recreation & Sports,
,Forest management,Forest management,SC040302,NEW,"Management of a forest as an ecosystem and natural habitat, with attention to forest genetic resources, forest succession and other forest protection issues, and their impact on society and public use. See also: Sustainable forestry.",,N,Recreation & Sports,
,Rainforests,Rainforests,SC040303,NEW,"Preservation of rainforests and native species in face of ecological, industrial and developmental threats including decimation, pollution and overexploitation, with focus on impact on climate, in particular global oxygen flow, and indigenous culture, including medicinal resources. Use for: Tropical and Temperate rainforest preservation. See also: Sustainable forestry.",,N,Recreation & Sports,
,Domesticated animals,Domesticated animals,SC050000,D00,"Activities that focus on the care, protection, or understanding of pets, companion animals, research animals, or specialty animals; includes medical care for animals; does not include the raising of livestock.",,D,Animal-Related,
,Animal welfare,Animal welfare,SC050100,D20,"Provision of humane care, protection and control of domestic and wild animals that are a part of the living environment. Included may be: Animal adoption services; Animal control (strays); Animal lost and found; Foster care for animals; Humane animal traps; Pet boarding/sitting services; Pet cemeteries; Pet food; Pet transportation; Protective services for animals (rescue, shelters, cruelty investigation).",,D,Animal-Related,
,Animal adoptions,Animal adoptions,SC050101,NEW,"Facilitation and promotion of rehoming of lost, abandoned, rescued or homeless animals, sometimes requiring short- or long-term sheltering of the animal until an appropriate home is found, or placement of animals in foster homes for care and socialization. May include medical care, spaying or neutering, screening of potential adopters, and public education.",,N,Recreation & Sports,
,Animal population control,Animal population control,SC050102,D21,"Efforts to surgically alter animals to prevent them from reproducing. Spay refers to the surgical removal of the ovaries, uterus and fallopian tubes of a female animal; neuter refers to the surgical removal of the testes of a male animal.",,D,Animal-Related,
,Animal rescue and rehabilitation,Animal rescue and rehabilitation,SC050103,NEW,"Rescue and care of abused, neglected and abandoned animals including pets, livestock, research animals, and exotic animals that can no longer be cared for in private homes, institutions, or zoos. ",,N,Recreation & Sports,
,Humane education,Humane education,SC050104,NEW,"The teaching of compassion and respect relating to animal welfare and linked to environmental and social justice issues, including human oppression and animal exploitation, materialism and ecological degradation. It seeks to cultivate knowledge, skills and commitment to live ethically, sustainably and peaceably; foster kindness to all living beings; spread the idea that choices affect fate of other people, species, and the Earth; and promote responsibility for creating a better world.",,N,Recreation & Sports,
,Research on animals,Research on animals,SC050105,NEW,"Promotion of ideas and practices based on the premise that animals, being sentient and able to feel emotions and physical pain, should be treated with respect and not be exploited or made to suffer unnecessarily, including being used for food, entertainment or research, being used as laborers, or slaughtered for their skins, fur, feathers, or the commercial use of other body parts. May include advocacy for the philosophy of animal rights or for specific animals or animal populations.",,N,Recreation & Sports,
,Vegetarianism,Vegetarianism,SC050106,NEW,"The practice of abstaining from the consumption of meat: usually red meat, poultry, seafood and the flesh of any other animal or sentient creature. Vegetarianism may be chosen for ethical reasons (respect for the life of animals), health reasons, or other reasons. Includes Veganism, in which a person forgoes the use and consumption of all animal products; Pescetarianism, Ovo-lacto vegetarianism, Macrobiotic diets, and other variant practices.",,N,Recreation & Sports,
,Animal training,Animal training,SC050200,D60,"Services which help individuals develop an understanding of the animal species in which they have an interest, to work more effectively with their pets and service animals, and to train animals in certain behaviors and skills. ",,D,Animal-Related,
,Veterinary medicine,Veterinary medicine,SC050300,D40,"Preventive, diagnostic and treatment services for animals that have illnesses, injuries or emotional problems; and which put to sleep animals that are aged or in severe pain because of untreatable health problems. Included may be the following: Animal hospitals, Animal autopsies; Animal poison information; Pet tattooing; Pet therapy; Rabies and other vaccinations; Veterinary bill assistance; and hospitals that provide surgical services for animals.",,D,Animal-Related,
,Human-animal interactions,Human-animal interactions,SC050400,NEW,"The examination and practice of the role of the human-animal bond in empathy development, the ability to form and express attachments, reactions to grief and loss, and the challenges of aging and other developmental passages through one's lifespan. See also: Animal therapy",,N,Recreation & Sports,
,Environmental education,Environmental education,SC060000,C60,"Environmental education teaches children and adults how to learn about and investigate their environment, and to make intelligent, informed decisions about how they can take care of it. Taught in traditional classrooms, in communities, and in settings like nature centers, museums, parks, and zoos.  Educational programs that raise public awareness and knowledge about environmental issues or problems and provide the public with the necessary skills to make informed decisions and take responsible action. Outdoor education programs; environmental studies programs at educational institutions.",,C,Environment,
,Environmental studies,Environmental studies,SC060100,NEW,"Environmental Studies provides a foundation in the natural sciences (biology, geology, chemistry, data analysis, and physical geography) while also including the social sciences, policy studies, environmental design, and the humanities. Focuses on activities in non-profit sector, government agencies, environmental planning, sustainability advising, green business, environmental education, environmental journalism; focuses on fields such as pollution abatement, water resources, climate change, ecosystem protection, environmental restoration, and environmental management. ",,N,Recreation & Sports,
,Nature education,Nature education,SC060200,NEW,"Formal and informal environmental education programs about the natural world and the human place in it. Includes classroom teaching, nature museums, arboreta, nature centers that offer guided or self-guided walks or drives through parks, beach areas, wildlife preserves and other natural settings to acquaint participants with particular aspects of their environment and to increase their understanding of and appreciation for nature. May include seeing or handling live animals, identification of plant and animal species and habitats, and understanding of basic ecological principles.",,N,Recreation & Sports,
,Outdoor education,Outdoor education,SC060300,NEW,"Experiential process of learning by doing, which takes place primarily through exposure to the out-of-doors. The emphasis is on hands-on learning, not classroom learning, often for the purpose of learning physical skills such as hiking, canoeing and rock climbing. Some learning focuses on personal development, psychological growth, and interpersonal relations (adventure, wilderness and survival education), not only on relationships concerning people and natural resources. ",,N,Recreation & Sports,
Philanthropy,Philanthropy,Philanthropy,SD000000,T00,"Organizations or programs that focus on promoting the practice of giving and volunteering or which represent and serve a wide range of philanthropy and charitable institutions; private grantmaking foundations and charitable trusts; federated giving programs that provide funding and other types of assistance to community services (e.g., United Way, Jewish Federation); programs that promote individual giving through pooling of funds or trusts for maximal financial and program administration performance (e.g., public foundations and community foundations); and programs that provide management and administrative support to philanthropic and nonprofit organizations and projects. Does not include fund-raising, distribution services, or volunteer bureaus and volunteer action centers operating in a specific major group area (see Support Strategy and Organization Type terms).",,T,"Philanthropy, Voluntarism & Grantmaking Foundations",
,Philanthropy and public policy,Philanthropy and public policy,SD010000,T06,"Programs and groups that conduct research and analysis on public policy in philanthropy, charitable giving, voluntarism, and the nonprofit sector. Also includes efforts to set or influence public policy in this area.",,T,"Philanthropy, Voluntarism & Grantmaking Foundations",
,Foundations,Foundations,SD020000,T20,"Organizations that are established to maintain or aid social, educational, religious or other charitable activities serving the common welfare, primarily through grants using assets which are usually contributed by a single source such as an individual, family or corporation. And organizations whose grant funds are derived from many donors rather than from a single source and held in an endowment that is independently administered. Income from the endowment is used to make grants for charitable purposes, usually in a specific community or region. In some regions, foundations may also work to achieve their mission through strategies other than grantmaking; for instance, operating their own programs, investing in other projects, or providing technical assistance or other services to beneficiary organizations.",,T,"Philanthropy, Voluntarism & Grantmaking Foundations",
,Voluntarism,Voluntarism,SD030000,T40,"Efforts to maximize the effective utilization of volunteer resources in the community, and which encourage the participation of individuals who want to offer their services and work on a full- or part-time basis without remuneration in one of the human services fields. Included are volunteer recruitment and placement programs that identify individuals who want to volunteer, and which systematically evaluate their skills, talents and personalities and match them with organizations that need voluntary support; and volunteer training programs which prepare individuals for the specific type of volunteer activity in which they are interested.",,T,"Philanthropy, Voluntarism & Grantmaking Foundations",
,Nonprofits,Nonprofits,SD040000,S50,"Activities that assist in the management of nonprofits and other charities, in studies of the role of nonprofits in society, and in the establishment of policies and regulations applying to nonprofits.",,S,Community Improvement & Capacity Building,
,Venture philanthropy,Venture philanthropy,SD050000,T80,"Sometimes called ""Engaged Philanthropy,"" this refers to the application by donors of principles traditionally associated with venture capitalists to improve the capacity or performance of a nonprofit organization or social enterprise. Practices typically involve a combination of funding and expertise, more direct engagement with leadership, long-term funding relationships (three to six years), performance monitoring and an exit strategy.",,T,"Philanthropy, Voluntarism & Grantmaking Foundations",
Health,Health,Health,SE000000,E00,"Promotion and protection of the physical and mental well-being of people through medical care and treatment; assessment and amelioration of social, environmental, and biomedical factors affecting that well-being; research into various diseases and in various disciplines; and education and prevention activities that increase people's own efforts at protecting public health. ",,E,Health Care,
,Health care quality,Health care quality,SE010000,NEW,"Health care quality is receiving the best possible care for an illness or condition including the avoidance of errors/mistakes, patient safety, respectful treatment by health care professionals and clear answers to questions about treatment. Use for: HCQ, Health care improvement. See also: Patient-Centered care.",,N,Recreation & Sports,
,Health care access,Health care access,SE020000,E13,"The ready availability of affordable, quality health and medical care, especially for those in remote areas (rural areas, Indian/Native American reservations, underserved urban areas and other locations without adequate health care services), those with language barriers (culturally sensitive health care) and those who cannot afford to pay for adequate care. Includes efforts to address disparities in life expectancy; quality of life, rates of disease, disability and death; severity of disease; and access to treatment due to an individual’s social position or other socially determined circumstances. Use for: Health care parity; Health equity; Right to health care; Patient access; Health care expansion; Culturally sensitive health care.",,E,Health Care,
,Health care administration and financing,Health care administration and financing,SE030000,E80,"The administration and management of health and medical care through insurance, other financing activities, technical assistance, services to patients and their families, and the study and practice of ethical behavior in medical care and research.",,E,Health Care,
,Bioethics,Bioethics,SE030100,E85,"Programs that promote the study or teaching of ethical issues involved in the practice of medicine or research including right-to-die issues, end-of-life decision-making, access to lifesaving procedures for people who are terminally ill, transplant ethics, implications of recent developments in genetic testing and genetic manipulation in humans, cloning and utilization of animals for research purposes. For efforts to influence public opinion or public policy on medical issues related to the civil liberties of individuals, it may be more appropriate to use Euthanasia and assisted suicide; Reproductive rights; Anti-abortion; or Patients' rights.",,E,Health Care,
,Electronic health records,Electronic health records,SE030200,NEW,"Health records in a digital format and/or a digital information system for storing, sharing and retrieving digital health records. Includes system creation and maintenance, as well as issues related to personal privacy and system security. Electronic health records can be used for research purposes as  source of anonymous data.",,N,Recreation & Sports,
,Health care financing,Health care financing,SE030300,E83,"Activities that address the financing of health care other than health insurance or managed care, and efforts to contain the cost of health care.",,E,Health Care,
,Health care management,Health care management,SE030400,E02,"The leadership, management and administration of public and private health care systems, hospitals, hospital networks, and clinics. This includes the physical functioning and administration of institutions and networks, as well issues related to shaping public policy and best practices within institutions and networks. ",,E,Health Care,
,Health insurance,Health insurance,SE030500,E81,"Policies and programs which indemnify or reimburse policy holders for all or a portion of the cost of hospital or medical care or for lost income arising from an illness or injury. Includes dental insurance, hazardous occupations benefits, indemnity health plans, Medicare insurance supplements, long-term care insurance, and private disability insurance.",,E,Health Care,
,Managed care,Managed care,SE030600,E31,"A health care system or approach in which patients agree to visit only certain doctors and hospitals, and in which the cost of treatment is monitored and influenced by a managing company, i.e. a healthcare plan or system that seeks to control medical costs by contracting with a network of providers, requiring preauthorization for visits to specialists, and other strategies. Use For: HMOs (Health Maintenance Organizations), PPOs (Preferred Provider Organizations), ACOs (Accountable Care Organizations), MCOs (Managed Care Organizations), MSAs (Medical Savings Accounts), PSOs (Point of Service Organizations), PFFS (Private Fee for Service), and other forms of networked health care.",,E,Health Care,
,Patient-centered care,Patient-centered care,SE030700,NEW,"Health care services that assist patients and their families to navigate the health care system and allow them to take charge of their care and how it is to be administered. Included are assistance to develop written goals and objectives that relate to a recommended therapeutic regimen, medical procedures and self-care. Also included are medical social work services for patients and families during hospitalization and discharge which offer consultation and coordination of available services for the patient's continuing care at home or in a short- or long-term care facility.",,N,Recreation & Sports,
,Patient social services,Patient social services,SE030800,E86,"Programs that provide social and recreational activities for people who are recovering from surgery or a serious illness to help them gain confidence and readjust to living and/or working in the community. Also included are programs that provide supportive services for children who are ill and for their families which enable family members to remain with a child who is hospitalized or which attempt to make a gravely or terminally ill child's final days, weeks and months more pleasant. Includes Make-a-Wish groups and patient/family housing programs such as Ronald McDonald House.",,E,Health Care,
,Patients' rights,Patients' rights,SE030900,R27,Work for passage and enforcement of laws and other social measures that protect and promote the rights and interests of patients of the health and medical care system.,,R,"Civil Rights, Social Action & Advocacy",
,Medical counseling,Medical counseling,SE031000,E87,"Therapeutic counseling in support of patients undergoing treatment for diseases and patients experiencing illness, eases distress and provides spiritual and emotional support in coping with side effects, including insomnia, fatigue and pain, while helping patient to understand personal reactions to treatment.",,E,Health Care,
,In-patient medical care,In-patient medical care,SE040000,E20,The prevention and treatment of mental and physical disorders and disease by medical professionals and the facilities and organizations that provide access to prevention and treatment of these diseases and disorders.,,E,Health Care,
,Burn care,Burn care,SE040100,E38,"Special facilities or services for people who have received second- and third-degree burns to exterior services of the body or to the respiratory tract that were caused by fire or excessive heat, flash explosions, hot steam or water, chemicals, electricity or radioactive substances or heat. Burn centers utilize a variety of equipment, including sterilized rooms which have specially purified air to prevent infection, special beds and mattresses, heat shields rather than blankets and hyperbaric oxygen chambers which use concentrated oxygen to speed healing and prevent infection.",,E,Health Care,
,Community health care,Community health care,SE040200,E21,"The provision of health care services through a variety of programs and facilities in the same community or region, often by management corporations and other entities that own and manage at least one, but typically multiple, hospitals or medical facilities.",,E,Health Care,
,Convalescent care,Convalescent care,SE040300,NEW,"Nursing and personal care provided over an extended period of time (usually more than thirty days) for people who require a level of care less than that provided in an acute facility, and/or for chronically or disabled individuals. Includes intermediate care facilities, skilled nursing facilities and subacute care nursing facilities. Includes care for patients recovering from illness or medical procedures who have been discharged from hospital but need additional assistance or supervision before returning home. For residential nursing care for the elderly, use Nursing homes.",,N,Recreation & Sports,
,Hospital care,Hospital care,SE040400,E22,"Health care services and facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have any of a variety of illnesses or injuries which require immediate, short-term intervention.",,E,Health Care,
,Emergency care,Emergency care,SE040401,NEW,"Care provided in hospital emergency rooms, hospitals equipped for trauma care (those with trained trauma surgeons and anesthesiologists who are available on call twenty-four hours per day) and designated trauma centers which are equipped with licensed helicopter pads and trained trauma surgeons and anesthesiologists who are available in-house twenty-four hours per day. They deal with urgent, life threatening accidents and illness, both physical and mental. They are the first point of entry for medical emergencies and provide acute care, as well as performing triage and directing non-emergency medical patients to the appropriate medical department of the hospital. ",,N,Recreation & Sports,
,Intensive care,Intensive care,SE040402,E26,Programs that make available lifesaving techniques and equipment to seriously ill patients who are gathered in special units or distinct parts of health care facilities and are under continuous observation by trained medical staff. Included are general intensive care units and specialized units such as cardiac intensive care and neonatal intensive care.,,E,Health Care,
,Specialty hospital care,Specialty hospital care,SE040403,E24,Health care services or facilities like orthopedic hospitals or cancer treatment that provide diagnostic and treatment services on an inpatient basis for people who have specified medical conditions.,,E,Health Care,
,Children's hospital care,Children's hospital care,SE040404,NEW,Care provided in hospitals that provide  treatment specifically for children and that specialize in the prevention and treatment of childhood diseases and disorders.,,N,Recreation & Sports,
,Out-patient medical care,Out-patient medical care,SE050000,E30,"Care provided in health centers, clinics, and other facilities that provide walk-in, walk-out diagnostic and treatment services of a specialized nature for people whose care does not require confinement or a hospital stay. Includes special care, such as:  Antivenin supplies; Artificial organs; Chemotherapy/radiation therapy; Clinical trials; Coma management; Diagnostic services including Diagnostic radiology/imaging (majors being CAT scans, chest x-rays, GI series, MRI, ultrasound); Blood tests; Bone density tests (for osteoporosis); Heart catheterization monitoring; and Pediatric evaluation. Dialysis centers; Hyperbaric chambers; Outpatient surgery; Pacemakers; Pain management; Second opinions; Sex change operations; Tattoo removal; and Weight management (other than eating disorders).",,E,Health Care,
,Health care clinics,Health care clinics,SE050100,E32,"Outpatient facilities, known also as free clinics and community health centers, that have been established by the community and which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are often provided on an ability-to-pay basis when they target low-income and indigent residents of the community. Include mobile health clinics.",,E,Health Care,
,Dental care,Dental care,SE050200,E34,"Care of the teeth and associated structures in the oral cavity Including the prevention, diagnosis and treatment of diseases of the teeth and gums. Included may be: Dental hygiene services; Dental prosthodontics including dentures; Dental restoration; Emergency dental care; Mobile dental care; Oral/maxillofacial surgery; Orthodontics; Pediatric dentistry; and Periodontics.",,E,Health Care,
,Hearing care,Hearing care,SE050300,NEW,"Support and assistance for people who were born with or have developed hearing disorders due to accident, prolonged exposure to loud noise, illness or aging. This can include testing hearing to diagnose problems, providing hearing aids to improve hearing, and programs to increase awareness of environmental dangers to hearing.",,N,Recreation & Sports,
,Vision care,Vision care,SE050400,E35,"Assistance to people whose vision is defective by measuring the visual refractive power of their eyes and prescribing eyeglasses or contact lenses which give them normal vision or correct their vision to the greatest extent possible. Also included are programs that offer visual acuity and/or color tests for the purpose of identifying individuals who are color-blind or have an impaired ability to see, and vision screening programs.",,E,Health Care,
,E-health,E-health,SE050500,NEW,The use of telecommunication technologies and the Internet to provide healthcare services at a distance. It is commonly used to provide both emergency and non-emergency mental and physical healthcare to remote communities that have little or no direct access to healthcare services.,,N,Recreation & Sports,
,School-based health care,School-based health care,SE050600,NEW,"Health care provided on primary and secondary school campuses, generally a combination of primary and mental health care, substance abuse counseling, case management, dental health, nutrition programs, and health education and promotion, staffed by interdisciplinary health care providers including nurse practitioners, physician assistants, social workers, substance abuse counselors and mental health professionals. The emphasis is usually on prevention and early intervention; providing reproductive health care may be provided, but sometimes with certain restrictions or permissions required.",,N,Recreation & Sports,
,Urgent care,Urgent care,SE050700,NEW,"Urgent care is most often provided on a walk-in basis 7 days a week, with flexible access outside normal business hours, focused on the delivery of ambulatory care in a dedicated medical facility outside of a traditional emergency room with a licensed physician operating as medical director. This type of care is most often used to treat injuries or illnesses requiring immediate care, but not serious enough to require an ER visit, and distinguished from similar ambulatory healthcare centers such as emergency departments and convenient care clinics by scope of conditions treated, cost of treatment, daily hours that care is provided, and the available facilities on-site, including diagnostic equipment.",,N,Recreation & Sports,
,Preventive care,Preventive care,SE050800,NEW,"Measures taken for disease prevention, with attention to environmental issues, genetic predisposition, lifestyle choices, and other factors, and relying on anticipatory actions categorized as primary, secondary and tertiary prevention. May include check-ups to screen for diseases, to identify risk factors for disease, to enhance awareness of and promote health and wellness, and to update immunizations and boosters.",,N,Recreation & Sports,
,Nursing care,Nursing care,SE060000,E90,"Providers of nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. Use this code for organizations that provide nursing services that are not broken out at a more specific level, e.g., Candy Stripers or Chronic Care.",,E,Health Care,
,Home health care,Home health care,SE060100,E92,"Visiting nurse associations and other similar services that provide skilled nursing care and related health services for recently discharged hospital patients, and elderly or disabled individuals who may otherwise require care in an institution.",,E,Health Care,
,Palliative care,Palliative care,SE060300,E89,"Medical care or treatment that concentrates on reducing the severity of disease symptoms, rather than striving to halt, delay, or reverse progression of the disease itself or provide a cure. The goal is to prevent and relieve suffering and to improve quality of life for people facing serious, complex illness. Non-hospice palliative care is not dependent on prognosis and is offered in conjunction with curative and all other appropriate forms of medical treatment. It should not be confused with hospice care which delivers palliative care to those at the end of life.",,E,Health Care,
,End of life care,End of life care,SE160000,NEW,"Health care provided in the time leading up to a person’s death with the goal of controlling pain and other symptoms so the patient can be as comfortable as possible. This care can be provided in the hours, days, or months before a person dies and encompasses care and support for a person's mental and emotional needs, physical comfort, spiritual needs, and practical tasks. End-of-life care may include hospice care, along with euthanasia and assisted suicide.",,N,Recreation & Sports,
,Hospice care,Hospice care,SE160100,P74,"Providers of a full range of palliative and supportive services for terminally ill people who are in the final stages of their illnesses and for their families. Services may include medical care, pain and symptom management, home nurse visitation, case management, counseling, and bereavement services for the patient and members of the family. Hospice care may also be provided in the individual's own home.",,P,Human Services,
